RIO DE JANEIRO- RJ
"-22.90277778,-43.2075,A SORTE CHAMA,7074,R CONDE DE BONFIM,20520053,RIO DE JANEIRO,3253-0015,undefined,21"
",-22.85380556,-43.35161111,LOT ESP ACARI LTDA,2199,PRACA OITO DE MAIO,21511350,RIO DE JANEIRO,2473-7744,undefined,21"
",-22.99127778,-43.25341667,LOT ESP BENJAMIN LTD,3489,ESTRADA DA GAVEA,22451264,RIO DE JANEIRO,3322-9689,undefined,21"
",-22.89083333,-43.27277778,LOT ESP MOTTA,408,R CACHAMBI,20775181,RIO DE JANEIRO,2281-2036,undefined,21"
",-22.86444444,-43.25111111,LOT JOR NAS ESTRELAS,2235,Avenida Nova York,21041040,RIO DE JANEIRO,2573-4621,undefined,21"
",-22.92777778,-43.35527778,LOT MOEDA DE OURO,2342,AV GEREMARIO DANTAS,22740010,RIO DE JANEIRO,3392-6991,undefined,21"
",-22.90277778,-43.2075,LOT ROSARIODA SORTE,6836,RUA GONCALVES DIAS,20050030,RIO DE JANEIRO,3549-9357,undefined,21"
",-22.90338889,-43.56047222,LOT SAO BRAZ DE CAMPO GRANDE L,2341,R AUGUSTO DE VASCONCELOS,undefined,23050340,RIO DE JANEIRO,2416-0682,undefined,21"
",-22.75138889,-46.37083333,LOT SORTE GRANDE LTD,2227,AV NELSON CARDOSO,22730001,RIO DE JANEIRO,2423-5923,undefined,21"
",-22.90277778,-43.2075,LOT. VENCEDORA LTDA,487,RUA BARATA RIBEIRO,22051000,RIO DE JANEIRO,2236-2980,undefined,21"
",-22.87830556,-43.34311111,LOT. VISAO DE MADUREIRA,2284,R.CAP.COUTO MENEZES,21310200,RIO DE JANEIRO,3390-9705,undefined,21"
",-22.82527778,-43.31166667,LOT.BAZAR A.CAROLINE,2305,PRACA SAO JOAO BERCHMANS,21230570,RIO DE JANEIRO,3398-3544,undefined,21"
",-22.91336111,-43.544,LOT.OLIVEIRA E SOUZA LTDA,6423,ESTRADA DO CABUÇU,23052230,RIO DE JANEIRO,3364-9659,undefined,21"
",-22.96308333,-43.17569444,LOTECOPA LOTERIA LTDA,411,AV PRADO JUNIOR 281,22011040,RIO DE JANEIRO,2275-7797,undefined,21"
",-22.90277778,-43.2075,LOTER ESPORTIVA PATITA LTDA,6412,RUA CARDOSO DE MORAIS,21032000,RIO DE JANEIRO,2564-8680,undefined,21"
",-22.88833333,-43.57916667,LOTERIA  VILA NOVA LTDA,4510,Estrada Santa Maria,23071160,RIO DE JANEIRO,3407-0037,undefined,21"
",-22.92036111,-43.36055556,LOTERIA 3 MILENIO LTDA.,7851,AVENIDA GEREMARIO DANTAS,22735015,RIO DE JANEIRO,2425-0042,undefined,21"
",-22.90277778,-43.2075,LOTERIA A FAVORITA,482,Rua Marques de Abrantes,22230060,RIO DE JANEIRO,2553-7665,undefined,21"
",-22.97780556,-43.49313889,LOTERIA AFORTUNADA,8435,ESTRADA DOS BANDEIRANTES,22785091,RIO DE JANEIRO,3592-5891,undefined,21"
",-22.92472222,-43.23072222,LOTERIA ALQUIMIA,6474,RUA CONDE DE BONFIM,20550051,RIO DE JANEIRO,9644-9930,undefined,21"
",-22.85602778,-43.24683333,LOTERIA ALVORADA,2275,RUATEIXEIRA RIBEIRO,21040241,RIO DE JANEIRO,3976-8540,undefined,21"
",-22.83236111,-43.27958333,LOTERIA AMIGOS DA SORTE LTDA,6599,AVENIDA LOBO JUNIOR,21020122,RIO DE JANEIRO,3888-4047,undefined,21"
",-22.922,-43.37347222,LOTERIA APIACAS,24543,RUA APIACAS,22730190,RIO DE JANEIRO,3442-3146,undefined,21"
",-22.90068889,-43.55898889,LOTERIA BOA SORTE LTDA,2243,R BARCELOS DOMINGOS,23080020,RIO DE JANEIRO,2413-4146,undefined,21"
",-22.96416667,-43.17888889,LOTERIA CARAMURU LTDA,6663,Rua Duvivier,22020020,RIO DE JANEIRO,2275-4944,undefined,21"
",-22.93555556,-43.3725,LOTERIA CASSINO PARLE,2347,EST DOS BANDEIRANTES,22710113,RIO DE JANEIRO,2426-1364,undefined,21"
",-22.92183333,-43.19716667,LOTERIA CATUMBI,24557,RUA ITAPIRU,20251030,RIO DE JANEIRO,99983-9359,undefined,21"
",-22.86138889,-43.25416667,LOTERIA DA GALERIA,2328,AVENIDA TEIXEIRA DE CASTRO,21040115,RIO DE JANEIRO,3976-1213,undefined,21"
",-22.92677778,-43.34844444,LOTERIA DA PAU FERRO,24401,EST DO PAU FERRO,22743050,RIO DE JANEIRO,2424-1388,undefined,21"
",-22.9125,-43.65636111,LOTERIA DA SORTE DO PEDREGOSO,2202,ESTR DO PEDREGOSO,23078450,RIO DE JANEIRO,2413-7922,undefined,21"
",-22.91808333,-43.68305556,LOTERIA DO CENTRO COMERCIAL,2344,R FELIPE CARDOSO,23515000,RIO DE JANEIRO,3404-7576,undefined,21"
",-22.86833333,-43.45222222,LOTERIA DO CEU LTDA,7446,R.PROF CLEMENTE FERREIRA,21810141,RIO DE JANEIRO,3309-3248,undefined,21"
",-22.91194444,-43.68705556,LOTERIA DO TETRA,14668,R.SENADOR CAMARA,undefined,23555006,RIO DE JANEIRO,2418-4062,undefined,21"
",-22.96825,-43.24794444,LOTERIA DO VALAO,2322,VIA APIA,22451540,RIO DE JANEIRO,3322-7408,undefined,21"
",-23.00361111,-43.31722222,LOTERIA DOWNTOWN,13805,Av. das Americas,22640000,RIO DE JANEIRO,2494-6686,undefined,21"
",-22.90747222,-43.19036111,LOTERIA ECONOMICA,14998,RUA MORCOVO FILHO,20211340,RIO DE JANEIRO,2292-4924,undefined,21"
",-22.83483333,-43.31791667,LOTERIA ESPORTIVA 3 NETINHOS L,2261,AVENIDA  BRAS DE PINA,21235604,RIO DE JANEIRO,3351-1498,undefined,21"
",-22.92402778,-43.37155556,LOTERIA ESPORTIVA DOURO LTDA.,7541,Estrada do Tindiba,22740360,RIO DE JANEIRO,2424-9270,undefined,21"
",-22.86202778,-43.37216667,LOTERIA ESPORTIVA PARAISO DA SORTE,2234,AV GAL OSVALDO CORDEIRO DE FARIAS,21610480,RIO DE JANEIRO,3350-2206,undefined,21"
",-22.95725,-43.35072222,LOTERIA GARDENIA AZUL,24574,AV TENENTE CORONEL MUNIZ DE ARAGAO,22765005,RIO DE JANEIRO,7893-4280,undefined,21"
",-22.90277778,-43.2075,LOTERIA GAROTA LTDA,2274,R URANOS,21060070,RIO DE JANEIRO,2564-1408,undefined,21"
",-22.9675,-43.18438889,LOTERIA GRANDE CHANCE,13150,Rua Hilario de Gouveia,22040020,RIO DE JANEIRO,2235-2836,undefined,21"
",-22.96475,-43.61863889,LOTERIA GUARATIBA,24459,ESTRADA DO MAGARÇA,23035380,RIO DE JANEIRO,99996-2143,undefined,24"
",-22.92466667,-43.22013889,LOTERIA HADOCK LOBO LTDA.,7297,RUA  HADOCK LOBO,20260141,RIO DE JANEIRO,2567-9716,undefined,0000"
",-22.90658333,-43.1835,LOTERIA MANOS,361,PC TIRADENTES,20060070,RIO DE JANEIRO,3901-3231,undefined,21"
",-22.87605556,-43.33922222,LOTERIA MEU PE DE COELHO LTDA,14268,Rua Domingos Lopes,21310120,RIO DE JANEIRO,3183-2441,undefined,21"
",-22.81516667,-43.20666667,LOTERIA MIKITA,484,RUA CAMBAUBA,21940005,RIO DE JANEIRO,2466-1353,undefined,21"
",-22.85527778,-43.25611111,LOTERIA NOVA YORK LTDA,7939,AVENIDA NOVA YORK,21041040,RIO DE JANEIRO,2260-7255,undefined,21"
",-22.92755556,-43.57402778,LOTERIA PARK SHOPPING,24519,ESTRADA DO MONTEIRO,23045830,RIO DE JANEIRO,7895-2360,undefined,21"
",-22.90380556,-43.21886111,LOTERIA QUINTA DA SORTE,7921,RUA SAO CRISTOVAO,20940001,RIO DE JANEIRO,8242-5403,undefined,21"
",-22.90758333,-43.18419444,LOTERIA REGUFE LTDA,351,PRACA TIRADENTES,20060070,RIO DE JANEIRO,3852-3237,undefined,21"
",-22.92866667,-43.39236111,LOTERIA REMY,24542,ESTRADA RODRIGUES CALDAS,22713375,RIO DE JANEIRO,7893-4280,undefined,21"
",-22.89813889,-43.56591667,LOTERIA RIO DO A LTDA,13752,Estrada Rio do A,23080300,RIO DE JANEIRO,3406-8636,undefined,21"
",-22.91172222,-43.21402778,LOTERIA SALVADOR,464,PRACA DA BANDEIRA,20270150,RIO DE JANEIRO,99477-7601,undefined,21"
",-23.01107778,-43.30486111,LOTERIA SORTE DA BARRA LTDA,7149,AV OLEGARIO MACIEL,22621200,RIO DE JANEIRO,2495-6233,undefined,21"
",-22.98083333,-43.19638889,LOTERIA SORTE DE COPACABANA LTDA ME,21878,RUA FIGUEIREDO MAGALHAES,22031012,RIO DE JANEIRO,98177-9057,undefined,0000"
",-22.98261111,-43.21813889,LOTERIA SORTE DO LEBLON,6948,AV AFRANIO DE MELO FRANCO,22430060,RIO DE JANEIRO,2512-5116,undefined,21"
",-22.96069444,-43.17061111,LOTERIA SORTE DO LEME LTDA ME,21847,RUA ROBERTO DIAS LOPES,22010110,RIO DE JANEIRO,3579-9692,undefined,21"
",-22.96022222,-43.54255556,LOTERIA SORTE DUPLA LTDA,6356,Estrada dos Bandeirantes,22780083,RIO DE JANEIRO,2441-4785,undefined,21"
",-22.94952778,-43.19347222,LOTERIA SORTE E PAZ LTDA,21852,RUA MAL FRANCISCO DE MOURA,22260140,RIO DE JANEIRO,7826-9097,undefined,0000"
",-22.79633333,-43.18327778,LOTERIA TAUA,7071,AV PARANAPUAN,21910004,RIO DE JANEIRO,2467-7162,undefined,21"
",-22.98191667,-43.46341667,LOTERIA VARGEM DA SORTE,22813,ESTR DOS BANDEIRANTES,22783113,RIO DE JANEIRO,2425-0510,undefined,21"
",-22.99444444,-43.235,LOTERIA VIDIGAL,21883,AV PRESIDENTE JOAO GOULART,22450241,RIO DE JANEIRO,3206-0991,undefined,21"
",-22.92477778,-43.37377778,LOTERIA VILLAGE DA SORTE,2449,EST DOS BANDEIRANTES,22710570,RIO DE JANEIRO,2426-0504,undefined,21"
",-22.91363889,-43.18833333,LOTERIAS  AMATO,364,R CARLOS SAMPAIO,20231084,RIO DE JANEIRO,2508-6204,undefined,21"
",-22.91372222,-43.18258333,LOTERIAS ARCADA,359,AV GOMES FREIRE,20231014,RIO DE JANEIRO,2221-0720,undefined,21"
",-22.90277778,-43.2075,LOTERIAS COPA CHIC,451,RUA BARATA RIBEIRO,22051000,RIO DE JANEIRO,2549-4794,undefined,21"
",-22.90277778,-43.2075,LOTERIAS LARANJEIRAS,2265,R. DAS LARANJEIRAS,22240006,RIO DE JANEIRO,2285-6092,undefined,21"
",-22.90277778,-43.2075,LOTERIAS MANNARINO,350,RUA DA LAPA,120,20021180,RIO DE JANEIRO,2222-0996,undefined,21"
",-22.88552778,-43.36641667,LOTERIAS NOVA VALQUEIRE,6436,R LUIS BELTRAO,21321230,RIO DE JANEIRO,2453-1893,undefined,21"
",-23.03,-43.47244444,LOTERIAS POSTO 12,449,RUA GILKA MACHADO,22795570,RIO DE JANEIRO,3151-1015,undefined,21"
",-22.89144444,-43.676,LOTERIAS PREMIUM,8272,Estr. Padre Guilherme Decaminada,23575000,RIO DE JANEIRO,3305-1123,undefined,21"
",-22.98111111,-43.22388889,LOTERIAS ROCHA,2258,AV BARTOLOMEU MITRE,22431000,RIO DE JANEIRO,2294-7343,undefined,21"
",-23.02444444,-43.47980556,LOTERICA DO PONTAL,13650,RUA ESPERANCA,22795135,RIO DE JANEIRO,2490-0942,undefined,21"
",-22.92230556,-43.24255556,LOTERICA ESMERALDA,432,R BARAO DE MESQUITA,20540001,RIO DE JANEIRO,2238-5265,undefined,21"
",-22.90083333,-43.28916667,LOTERICA MACKENZIE,448,R ADRIANO,20735060,RIO DE JANEIRO,3271-8569,undefined,21"
",-22.98666667,-43.18994444,LOTERICA REI ARTHUR,20679,AV NOSSA SRA DE COPACABANA,22070012,RIO DE JANEIRO,2513-0606,undefined,21"
",-22.87722222,-43.34897222,LOTERICA SANTA FE,24384,ESTRADA DO SAPE,21550010,RIO DE JANEIRO,7895-9705,undefined,21"
",-22.80111111,-43.18272222,LOTERILHA,12585,AV PARANAPUAN,21910004,RIO DE JANEIRO,3396-1657,undefined,21"
",-22.90277778,-43.2075,LOTEROX LOTERIAS,353,R SACADURA CABRAL,20081262,RIO DE JANEIRO,2263-2383,undefined,21"
",-22.83638889,-43.38138889,LOTO SHOP LOTERIAS,14314,Estrada do Camboata,21665001,RIO DE JANEIRO,3106-1890,undefined,21"
",-22.90277778,-43.2075,LOTOSORTE,10840,RUA LAURO MULLER,22290160,RIO DE JANEIRO,2542-3993,undefined,21"
",-22.88583333,-43.39891667,LOTS MARCIA DA SULACAP,2290,AV. MARECHAL FONTENELLE,21740001,RIO DE JANEIRO,3357-7204,undefined,21"
",-22.92697222,-43.23894444,LOTS SANTO AFONSO,387,RUA JOSE HIGINO,20520972,RIO DE JANEIRO,2571-9852,undefined,21"
",-22.94622222,-46.18214167,LOTUS LOTERIAS,10450,PRAIA DE BOTAFOGO,22250040,RIO DE JANEIRO,2552-0856,undefined,21"
",-22.94272222,-46.36666667,LUCK MARKET LOTERIAS,2365,EST MAL MSM MORAES,22770331,RIO DE JANEIRO,7867-8505,undefined,21"
",-22.90011111,-43.22619444,LUCKY POINT,7949,R. SAO LUIZ GONZAGA,20910061,RIO DE JANEIRO,3860-8547,undefined,21"
",-22.28658333,-43.18827778,LUCKY TIME LOTERIA,13651,RUA DONA MARIANA,22280020,RIO DE JANEIRO,2579-2281,undefined,21"
",-22.84088889,-43.28002778,M M OLIVEIRA LOTS LT,2203,AV BRAS DE PINA,21070032,RIO DE JANEIRO,7880-5281,undefined,21"
",-22.88044444,-43.49,M.B.MONTEIRO LOTERIA,2312,RUA UBATA,21843040,RIO DE JANEIRO,3462-7059,undefined,21"
",-22.87527778,-43.45694444,M.RODRIGUES FILHO LOT. ESP.,2298,R.TORONTO,21875070,RIO DE JANEIRO,2401-1231,undefined,21"
",-22.90138889,-43.55638889,MAG S LOTERIA LTDA,2442,RUA CAMPO GRANDE,23080000,RIO DE JANEIRO,2413-8159,undefined,0000"
",-22.91775,-43.21208333,MANTOVANI LOTERIAS,437,RUA DO MATOSO,20270135,RIO DE JANEIRO,7812-9023,undefined,21"
",-22.82358333,-43.32588889,MAPA DA MINA,2282,RUA ANDRÉ FILHO,21230340,RIO DE JANEIRO,3376-3900,undefined,21"
",-22.90277778,-43.2075,MAR DA SORTE,2408,PC MAHATMA GANDHI,20031100,RIO DE JANEIRO,2262-3417,undefined,21"
",-22.89752778,-43.351,MARB LOTS,2310,Rua Baroneza,21321010,RIO DE JANEIRO,3258-4952,undefined,21"
",-22.85961111,-43.37016667,MARCRIS LOTERIAS,2307,RUA AURELIO VALPORTO,21555560,RIO DE JANEIRO,3068-0152,undefined,21"
",-22.88858333,-43.48225,MARSERE LOTERIA LTDA,6641,RUA RIO DA PRATA,21820092,RIO DE JANEIRO,3309-3217,undefined,21"
",-22.92027778,-43.21861111,MASELLO LOTERIAS,425,RUA DOUTOR SATAMINI,20270231,RIO DE JANEIRO,2254-1616,undefined,21"
",-22.90783333,-43.56305556,MATRIX LOTERIA,14719,Rua Augusto Vasconcelos,23045120,RIO DE JANEIRO,2415-4168,undefined,21"
",-22.90277778,-43.2075,MEGA BOLAO,414,R TEOFILO OTONI,20090070,RIO DE JANEIRO,3145-0109,undefined,21"
",-22.96611111,-43.18222222,MEGA SORTE,418,RUA BARATA RIBEIRO 280,22040002,RIO DE JANEIRO,3208-0924,undefined,21"
",-22.90283333,-43.17194444,MEGAAMANIA,14212,PRACA XV DE NOVEMBRO,20010010,RIO DE JANEIRO,2240-3203,undefined,21"
",-22.90277778,-43.2075,MEGAMANIA LOTERIA,470,RUA ALMIRANTE GONCALVES,22060040,RIO DE JANEIRO,2247-9885,undefined,21"
",-22.90222222,-43.27805556,MEIER LOTERICO,422,R DIAS DA CRUZ,20720010,RIO DE JANEIRO,2594-6226,undefined,21"
",-22.90138889,-43.27638889,MEIER SORTE,442,RUA FREDERICO MEIER,20780010,RIO DE JANEIRO,2501-1325,undefined,21"
",-22.90166667,-43.27833333,MEIER TURFE,392,AV AMARO CAVALCANTE,20735040,RIO DE JANEIRO,3268-7633,undefined,21"
",-22.90277778,-43.2075,MENEZES CORTES,362,R SAO JOSE,20010020,RIO DE JANEIRO,2524-5336,undefined,21"
",-22.87055556,-43.3335,MERCADAO DA SORTE,15329,AV MINISTRO EDGARD ROMERO,21360240,RIO DE JANEIRO,3456-2351,undefined,21"
",-22.90277778,-43.2075,MR. SORTE LOTERIAS  LTDA,433,RUA HUMAITA,undefined,22261000,RIO DE JANEIRO,2286-3414,undefined,21"
",-22.86486111,-43.29269444,MULTILUDO,6502,EST ADHEMAR BEBIANO,20765171,RIO DE JANEIRO,3185-6852,undefined,21"
",-22.98494444,-43.19866667,MUNIZ LOTERIA LTDA,2319,R TEIXEIRA DE MELO,22410010,RIO DE JANEIRO,2523-7037,undefined,21"
",-22.84444444,-43.32333333,NOBREZA LOTERIA,12277,AVENIDA  MONSENHOR  FELIX,21235110,RIO DE JANEIRO,3381-0328,undefined,21"
",-22.90277778,-43.2075,NOVA BARRA,5622,AV DAS AMERICAS,22640101,RIO DE JANEIRO,2439-1702,undefined,21"
",-22.99819444,-43.36241667,NOVA IPANEMA LOTERIAS LTDA,2209,AV DAS AMERICAS,22640102,RIO DE JANEIRO,3325-8244,undefined,21"
",-23.00147222,-43.63352778,NOVE MIL LOTERIAS,492,Praca Dr. Capello Barrozo,23025060,RIO DE JANEIRO,2417-0670,undefined,21"
",-22.91694444,-43.26694444,NOVO MILÊNIO,355,R.  Barao de Sao Felix,20221424,RIO DE JANEIRO,2263-9295,undefined,21"
",-22.95444444,-43.3375,NOVO PREMIO LOTS,2289,EST JACAREPAGUA,22753033,RIO DE JANEIRO,2436-5837,undefined,21"
",-22.97880556,-43.19063889,O TRIPLO LOTERICO LT,2218,R DJALMA ULRICH,22071020,RIO DE JANEIRO,2521-2694,undefined,21"
",-22.84027778,-43.30638889,OLIMPO DA SORTE LOTERIA LTDA,12272,AVENIDA BRAS DE PINA,21210674,RIO DE JANEIRO,2481-2100,undefined,21"
",-22.87813889,-43.43555556,OLUAS ATIVIDADES LOTERICAS LTDA,2300,Avenida Santa Cruz,21755271,RIO DE JANEIRO,3331-2070,undefined,21"
",-22.85747222,-43.45405556,OPCAO DA SORTE LOTERIA LTDA,24569,EST DA CANCELA PRETA,21725010,RIO DE JANEIRO,3796-1014,undefined,21"
",-22.99222222,-43.25388889,PAPALEGUA DA SORTE,17895,ESTRADA DA GAVEA,22610001,RIO DE JANEIRO,9458-8270,undefined,21"
",undefined,PARANA LOTERIAS,447,PRACA DO ENG NOVO,20770000,RIO DE JANEIRO,2228-1254,undefined,21"
",-22.90277778,-43.2075,PASSAGEM DA FORTUNA,13648,RUA DA PASSAGEM,22290030,RIO DE JANEIRO,2542-5740,undefined,21"
",-22.91080556,-43.18427778,PATRICIUS LOTERIA LTDA,378,RUA DA RELACAO,20231110,RIO DE JANEIRO,98900-7131,undefined,21"
",-22.87311111,-43.281,PE QUENTE LOTERICA,485,PRACA 24 DE OUTUBRO,20765180,RIO DE JANEIRO,4109-0097,undefined,21"
",-22.8965,-43.31241667,PIEDADE DA SORTE,2277,RUA TORRES DE OLIVEIRA,20740380,RIO DE JANEIRO,2289-5108,undefined,21"
",-22.87441667,-43.46255556,PINHO LOTERICO LTDA,2367,RUA SABOGI,21870140,RIO DE JANEIRO,2419-5798,undefined,21"
",-22.95227778,-43.18652778,PLAY TIME LOTERIAS,371,R VOLUNTARIOS DA PATRIA 151,22270000,RIO DE JANEIRO,2266-6342,undefined,0000"
",-23.00994444,-43.39772222,PLAY TIME LOTERIAS LTDA,7894,AV DAS AMERICAS,22790701,RIO DE JANEIRO,7846-1039,undefined,0000"
",-22.91272222,-43.67936111,PLENA SORTE,15672,RUA DOM PEDRO I,23510010,RIO DE JANEIRO,3395-1366,undefined,21"
",-22.90722222,-43.27722222,POINT DA FORTUNA,21745,RUA LINS DE VASCONCELOS,20710130,RIO DE JANEIRO,3215-0995,undefined,21"
",-22.9675,-49.86305556,POLEGAR DA SORTE,18449,RUA SENADOR POMPEU,20221291,RIO DE JANEIRO,2263-0285,undefined,21"
",-22.82755556,-43.85586111,POLO DA SORTE,2295,ESTRADA DO PORTELA,21351901,RIO DE JANEIRO,2450-0110,undefined,21"
",-22.90277778,-43.2075,POMAR DA SORTE,386,R. SAO FRANCISCO XAVIER,20550012,RIO DE JANEIRO,2204-0083,undefined,21"
",-23.01944444,-43.45083333,PONTO 01 LOTERIA LTDA,2346,R AMAURY MONTEIRO,22790110,RIO DE JANEIRO,3251-8396,undefined,21"
",-22.90125,-43.21716667,PONTO CERTO,401,Rua Sao Cristovao,20940001,RIO DE JANEIRO,3890-9466,undefined,21"
",-22.90277778,-43.2075,PONTO DA SORTE,495,AV MARACANA,20511000,RIO DE JANEIRO,2569-1321,undefined,21"
",-22.92236111,-43.2215,PONTO DA SORTE LOTERIA,396,R AGUIAR,20261120,RIO DE JANEIRO,2569-8333,undefined,21"
",-22.90277778,-43.2075,PONTO QUENTE LOT LTD,2286,PRAIA DE BOTAFOGO,22250040,RIO DE JANEIRO,2554-8523,undefined,21"
",-22.95388889,-43.19055556,PORT SERVICOS LOT,420,R SAO JOAO BATISTA,22270030,RIO DE JANEIRO,2286-4548,undefined,21"
",-22.90333333,-43.18444444,PORTAL DOS TRUNFOS,6715,R. BUENOS AIRES,20061000,RIO DE JANEIRO,3852-3265,undefined,21"
",-22.83291667,-43.32744444,PRACA DA SORTE  LOTERIA LTDA,6927,AVENIDA  MONSENHOR FELIX,21235110,RIO DE JANEIRO,3361-2532,undefined,21"
",-22.90277778,-43.2075,PRACA SAENZ PENA LOTERIAS LTDA,6374,RUA CONDE DE BONFIM,20520054,RIO DE JANEIRO,2569-3837,undefined,21"
",-22.90444444,-43.18088889,PRI PRI LOTERIA,372,AV MAL. CAMARA,20020080,RIO DE JANEIRO,2220-5778,undefined,21"
",-22.90277778,-43.2075,PRIMCOM LOTERIAS,6765,RUA DO CARMO,20011020,RIO DE JANEIRO,2507-2396,undefined,21"
",-22.90305556,-43.28194444,PRIMOS LOTERIAS,439,RUA DIAS DA CRUZ,20720010,RIO DE JANEIRO,3685-6431,undefined,21"
",-22.984,-43.20833333,PRIMUS-IPANEMA - LOTERIAS,17880,R.VISC.DE PIRAJA,undefined,22410002,RIO DE JANEIRO,2523-6151,undefined,21"
",-22.84261111,-43.37594444,PRINCESA DA SORTE,1377,BOULEVARD 28 DE SETEMBRO,20551030,RIO DE JANEIRO,3173-5417,undefined,21"
",-22.8075,-43.19694444,Q  SORTE LOTERIA,400,ESTRADA DO GALEAO,21931001,RIO DE JANEIRO,2462-4621,undefined,21"
",-22.98352778,-43.22055556,QUINA LOTERICA LTDA,2204,R CUPERTINO DURAO,22441030,RIO DE JANEIRO,2294-2049,undefined,21"
",-22.83222222,-43.33977778,R&C LOT.STO ANTONIO LT-ME,2327,AVENIDA  BRASIL,21530001,RIO DE JANEIRO,2471-6481,undefined,21"
",-22.96991667,-43.68941667,R. A. LOTERIA DE SANTA  CRUZ LTDA,15800,ESTRADA DO PIAI,23530610,RIO DE JANEIRO,3317-7942,undefined,21"
",-22.855,-43.25944444,RAMOS LOTERIA LTDA,2225,RUA  CARDOSO DE MORAIS,21032000,RIO DE JANEIRO,3881-4650,undefined,21"
",-22.91119444,-43.19347222,REAL 96 DIVINA DA SORTE,14893,RUA DO RIACHUELO,20230012,RIO DE JANEIRO,99706-9631,undefined,21"
",-22.87361111,-43.3375,REAL LOTERIAS,2445,ESTRADA DO PORTELA,21351050,RIO DE JANEIRO,3018-2679,undefined,21"
",-23.01469444,-43.46486111,RECREIO LOTERIAS,7547,AV. DAS AMERICAS,22790701,RIO DE JANEIRO,2437-4261,undefined,21"
",-22.85533333,-43.26458333,RENASCER LOT. LTDA,1378,AV JULIO FURTADO,20561010,RIO DE JANEIRO,2571-3713,undefined,21"
",-22.92375278,-43.24498889,REYSINHO DA SORTE,2197,RUA BARAO DE MESQUITA,20540003,RIO DE JANEIRO,3177-0255,undefined,21"
",-22.97125,-43.38502778,RIO 2 LOTERIAS,19501,RUA BRUNO GIORGI,22775054,RIO DE JANEIRO,2421-5326,undefined,21"
",-22.89769444,-43.18086111,RIO AVENIDA LOTERIA,379,RUA DO ACRE,20081000,RIO DE JANEIRO,2253-8580,undefined,21"
",-22.91888889,-43.40672222,RIO GRANDE DA SORTE,24434,ESTRADA DO RIO GRANDE,22723002,RIO DE JANEIRO,7812-9737,undefined,21"
",-22.89908333,-43.17763889,RIO PORTUGAL,15764,R VISCONDE DE INHAUMA,20091000,RIO DE JANEIRO,98900-7131,undefined,21"
",-22.99955556,-43.35555556,RISK & JOG,2294,Av das Americas,22640102,RIO DE JANEIRO,2431-9716,undefined,21"
",-22.89888889,-43.20925,ROD GUANABARA JORN REV LTDA,393,AV FRANCISCO BICALHO,20220310,RIO DE JANEIRO,2263-3758,undefined,21"
",-22.90311111,-43.20794444,ROMAPHE LOTERIAS LTD,2309,AV ATAULFO DE PAIVA,22440035,RIO DE JANEIRO,2239-8194,undefined,21"
",-22.79611111,-43.20930556,ROYAL LOTERIA,21774,RUA DA MATRIZ,21931617,RIO DE JANEIRO,2462-4901,undefined,21"
",-23.02138889,-43.48805556,RSC LOTERIA LTDA,17786,AV DAS AMERICAS,22790703,RIO DE JANEIRO,2490-1511,undefined,21"
",-22.93294444,-43.18406389,RUNAS LOT. E BAZAR LTDA,6823,Rua das Laranjeiras,undefined,22240000,RIO DE JANEIRO,2285-6973,undefined,21"
",-22.83919444,-43.39936111,SAI GANHANDO,17891,PRACA CLAUDIO DE SOUZA,21620120,RIO DE JANEIRO,3011-6754,undefined,21"
",-22.92155556,-43.37177778,SALMA LOTERIA LTDA,14046,AV NELSON CARDOSO,22730001,RIO DE JANEIRO,2423-5630,undefined,21"
",-22.9,-43.24475,SAO FRANCISCO DA SORTE,20255,RUA ANA NERI,20960005,RIO DE JANEIRO,2201-1804,undefined,21"
",-22.90677778,-43.18113889,SAO FRANCISCO LOTERIAS,356,RUA DA CARIOCA,20050008,RIO DE JANEIRO,2242-0854,undefined,21"
",-22.87927778,-43.33608333,SEFAT LOTERIAS LTDA.,7256,Praca Armando Cruz,21310350,RIO DE JANEIRO,3016-2995,undefined,21"
",-22.89475,-43.22147222,SEGREDO DA SORTE,1368,RUA SENADOR ALENCAR,20921430,RIO DE JANEIRO,2273-8533,undefined,21"
",-23.00111111,-43.38305556,SEIS DE OURO LOTERIA,6868,AV DAS AMERICAS,22793080,RIO DE JANEIRO,2438-9005,undefined,21"
",-22.902,-43.18455556,SENA DE OUROS,2421,AV. PASSOS,20051040,RIO DE JANEIRO,2253-0427,undefined,21"
",-22.96052778,-43.20797222,SENA PREMIADA,363,RUA MARIA ANGELICA 301,22461151,RIO DE JANEIRO,2286-2295,undefined,21"
",-22.90947222,-43.17422222,SENADOR LOTERICO,348,R SENADOR DANTAS,20031204,RIO DE JANEIRO,2240-8588,undefined,21"
",-22.90455556,-43.18105556,SERV TECN REP BARCRO,368,R. SANTA LUZIA,20020020,RIO DE JANEIRO,2524-7182,undefined,21"
",-22.90277778,-43.2075,SHOPPING DA SORTE,2256,AV DOM HELDER CAMARA,20771004,RIO DE JANEIRO,2594-6342,undefined,21"
",-22.93463889,-43.17502778,SHOW DA SORTE LOT,419,R. PAISSANDU 111,22210080,RIO DE JANEIRO,2265-1903,undefined,21"
",-22.93222222,-43.175,SIFRAO LOTERIAS LTDA,428,RUA ALMIRANTE TAMANDARE,22210060,RIO DE JANEIRO,225--7220,undefined,21"
