RIO DE JANEIRO- RJ
"-22.90277778,-43.2075,A SORTE CHAMA,7074,R CONDE DE BONFIM,20520053,RIO DE JANEIRO,3253-0015,undefined,21"
",-22.93419444,-43.18061111,BINGOU LOTERIAS LTDA,385,PCA SAO SALVADOR  1,22231130,RIO DE JANEIRO,2285-7940,undefined,21"
",-22.79833333,-43.19583333,BOA SORTE,2331,AV DOM HELDER CAMARA,20751000,RIO DE JANEIRO,3269-0385,undefined,21"
",-22.88083333,-43.34694444,BOA SORTE DE MADUREIRA LOTERIA,6276,TRAV. ALMERINDA FREITAS,21350280,RIO DE JANEIRO,3390-8883,undefined,21"
",-23.01052778,-43.43986111,BOA SORTE LOTERIAS LTDA,2429,AV ALFREDO BALTAZAR  DA SILVEIRA,22790710,RIO DE JANEIRO,3328-6002,undefined,21"
",-22.8385,-47.01938889,BOM ASTRAL,2369,RUA SIQUEIRA CAMPOS,22031072,RIO DE JANEIRO,8477-0005,undefined,21"
",-22.98166667,-43.24777778,BOULEVARD DA SORTE,6605,RUA SILVA PINTO,20551190,RIO DE JANEIRO,3597-1973,undefined,21"
",-22.84638889,-43.31111111,BOUT LOT BOUTIQUE LO,2237,RUA PASCAL,21221440,RIO DE JANEIRO,3013-2185,undefined,21"
",-22.98380556,-43.20430556,BOUTIQUE GAROTA DE IPANEMA,2215,R VISCONDE DE PIRAJA,22410000,RIO DE JANEIRO,3904-0004,undefined,21"
",-22.93727778,-43.68758333,BREGUETE LOTERIAS,13993,Avenida Areia Branca,23550740,RIO DE JANEIRO,3395-1572,undefined,21"
",-22.92722222,-43.23305556,BRITANIA,404,RUA DESEMBARGADOR IZIDRO,20521160,RIO DE JANEIRO,2572-5411,undefined,21"
",-22.99963889,-43.32694444,BRUNAL LOTS E PRESENTES LTDA,6623,AV DAS AMERICAS,22640100,RIO DE JANEIRO,2495-0123,undefined,21"
",-22.84302778,-43.26152778,BUSCH LOTERIA ESPORTIVA LTDA ME,12384,RUA DRUMOND,21031460,RIO DE JANEIRO,2560-8951,undefined,21"
",-22.87030556,-43.34852778,C BONZOUMET RAMOS,12727,R CAROLINA MACHADO,21351021,RIO DE JANEIRO,3359-2879,undefined,21"
",-22.805,-43.36694444,CAMINHO DA SORTE,15756,R.SARGENTO FERNANDES FONTES,21532450,RIO DE JANEIRO,2474-0401,undefined,21"
",-22.81897222,-43.28130556,CANDIDAS LOT E PAP,2291,RUA DO FEIJAO,21011050,RIO DE JANEIRO,2584-3868,undefined,21"
",-22.97502778,-43.42091667,CANTINHO JACARE,1380,RUA LINO TEIXEIRA,20970000,RIO DE JANEIRO,2146-4161,undefined,21"
",-22.95758333,-43.19966667,CASA ALFREDO,20094,RUA HUMAITÁ,22261001,RIO DE JANEIRO,9510-6166,undefined,21"
",-22.82811111,-43.40541667,CASA BLANCA LOT. LTDA,2283,RUA NAZARE,21645010,RIO DE JANEIRO,3339-1492,undefined,21"
",-22.93222222,-43.16916667,CASA DA SORTE LOTERIAS,5618,R DAS LARANJEIRAS,22240000,RIO DE JANEIRO,2558-0773,undefined,21"
",-22.87947222,-43.42319444,CASA DO SUCESSO LOTERICA LTDA,17904,R.PIRAQUARA,undefined,21755271,RIO DE JANEIRO,3466-7571,undefined,21"
",-22.85744444,-43.32930556,CASA ESCOPO LOTERICA,2185,AVENIDA MINISTRO EDGARD ROMERO,21360202,RIO DE JANEIRO,2481-2673,undefined,21"
",-22.94658333,-43.36108333,CASA LOT CID DEUS LT,2240,Est. Mal. Miguel S. M. de Moraes,22770330,RIO DE JANEIRO,2427-8956,undefined,21"
",-22.82258333,-43.3195,CASA LOT SONHO DOURA,2188,RUA ITAPERA,21230500,RIO DE JANEIRO,2471-4645,undefined,21"
",-22.84213056,-43.278625,CASA LOT VILACA PENH,2296,AV  BRAS DE PINA,21070032,RIO DE JANEIRO,3884-2000,undefined,21"
",-22.80855556,-43.32155556,CASA LOT. VAI QUE DA LTDA,6926,R FRANZ LISZT,21240400,RIO DE JANEIRO,3346-7902,undefined,21"
",-22.93166667,-43.24,CASA LOTERICA,6611,Rua Conde de Bonfim,20520055,RIO DE JANEIRO,2208-3836,undefined,21"
",-22.84261111,-43.26819444,CASA LOTERICA 13 DA SORTE DE OLARIA,2217,RUA LEOPOLDINA REGO,21021523,RIO DE JANEIRO,2560-6760,undefined,21"
",-22.16722222,-43.38305556,CASA LOTERICA BLESSING,17821,AV GEREMARIO DANTAS,22740010,RIO DE JANEIRO,2425-7681,undefined,21"
",-22.90277778,-43.2075,CASA LOTERICA CARIOCA,2210,AVENIDA  VICENTE DE CARVALHO,21210002,RIO DE JANEIRO,3688-2198,undefined,21"
",-22.90602778,-43.55330556,CASA LOTERICA GRANDE LANCE LTDA,2247,R AURELIO FIGUEIREDO,23052000,RIO DE JANEIRO,2416-1596,undefined,21"
",-22.98388889,-43.22277778,CASA LOTERICA LEBLON,2216,AV ATAULFO DE PAIVA,22440033,RIO DE JANEIRO,2512-5235,undefined,21"
",-22.97416667,-43.33583333,CASA LOTERICA R.P.1. LTDA,17755,AV ENG. SOUZA FILHO,22753053,RIO DE JANEIRO,3413-3531,undefined,21"
",-22.75222222,-43.3675,CASA LOTERICA SANTA CLARA DA PAVUNA LTDA,13699,AV PROF BERNARDINO DA ROCHA,21650450,RIO DE JANEIRO,3452-5359,undefined,21"
